jahr,umsatz,monat,quelle,id,created_date,updated_date,created_by_id,created_by,is_sample
"2024","208635","11","sevDesk","698f6ad0c243851910a5588b","2026-02-13T18:17:52.996000","2026-02-13T18:17:52.996000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","113684","12","sevDesk","698f6ad0c243851910a5588c","2026-02-13T18:17:52.996000","2026-02-13T18:17:52.996000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","0","1","sevDesk","698f6ad0c243851910a55881","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","0","2","sevDesk","698f6ad0c243851910a55882","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","0","3","sevDesk","698f6ad0c243851910a55883","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","0","4","sevDesk","698f6ad0c243851910a55884","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","168068","5","sevDesk","698f6ad0c243851910a55885","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","185065","6","sevDesk","698f6ad0c243851910a55886","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","186884","7","sevDesk","698f6ad0c243851910a55887","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","119763","8","sevDesk","698f6ad0c243851910a55888","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","103931","9","sevDesk","698f6ad0c243851910a55889","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","186899","10","sevDesk","698f6ad0c243851910a5588a","2026-02-13T18:17:52.995000","2026-02-13T18:17:52.995000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","0","1","sevDesk","698f6a6911cce70a42b3cd15","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","0","2","sevDesk","698f6a6911cce70a42b3cd16","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","0","3","sevDesk","698f6a6911cce70a42b3cd17","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","0","4","sevDesk","698f6a6911cce70a42b3cd18","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","168068","5","sevDesk","698f6a6911cce70a42b3cd19","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
