referenzOfferPositionId,gesamtNetto,bereitsFakturiert,teilfakturaProzent,produktName,ustSatz,beschreibung,gesamtBrutto,einzelpreisNetto,einheit,rabattProzent,pos,invoiceId,menge,id,created_date,updated_date,created_by_id,created_by,is_sample
"","3400","0","100","Taubenabwehr (Test)","20","Taubenabwehr für Friedmanngasse 29, 1160 Wien","4080","3400","Stk","0","1","69c1662c056dfa8631981b8e","1","69c1662eb08cfedb4b847575","2026-03-23T16:11:26.509000","2026-03-23T16:11:36.970000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","90","0","100","Regiestunden Schaden Eventualposition","20","""Das Angebot bzw. das angegebene Schadensausmaß bezieht sich auf das vom Boden aus wahrnehmbare Schadensbild. Falls das Arbeitsausmaß über die angebotenen Leistungen hinausgeht","108","90","Std","0","1","69c1662c056dfa8631981b8e","1","69c1662eb5234f4735fe3866","2026-03-23T16:11:26.281000","2026-03-23T16:11:36.960000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","8.01","0","100","Reinigung Innenhof","20","""Einrichten der Baustelle Seilaufbau für die Dauer der Arbeiten Den von Taubenkot stark verschmutzten Innenhof samt Fensterbretter (kleiner Hof zur Darwingasse 22)","9.612","8.01","pauschal","0","1","69c1662c056dfa8631981b8e","1","69c1662e5470b1006df22533","2026-03-23T16:11:26.043000","2026-03-23T16:11:36.961000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","0","0","100","","20","","0","0","Stk","0","1","69c1662c056dfa8631981b8e","1","69c1662dbca74ef92894da11","2026-03-23T16:11:25.805000","2026-03-23T16:11:36.952000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","0","0","100","","20","","0","0","Stk","0","1","69c1662c056dfa8631981b8e","1","69c1662d361f16348833153f","2026-03-23T16:11:25.516000","2026-03-23T16:11:36.958000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","0","0","100","","20","","0","0","Stk","0","1","69c1662c056dfa8631981b8e","1","69c1662dea3fffceafb4641d","2026-03-23T16:11:25.277000","2026-03-23T16:11:36.991000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","3400","0","100","Taubenabwehr (Test)","20","Taubenabwehr für Friedmanngasse 29, 1160 Wien","4080","3400","Stk","0","1","69c1660913505d94ff2e685e","1","69c1660bf37f9e826accf1c3","2026-03-23T16:10:51.067000","2026-03-23T16:11:13.975000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","90","0","100","Regiestunden Schaden Eventualposition","20","""Das Angebot bzw. das angegebene Schadensausmaß bezieht sich auf das vom Boden aus wahrnehmbare Schadensbild. Falls das Arbeitsausmaß über die angebotenen Leistungen hinausgeht","108","90","Std","0","1","69c1660913505d94ff2e685e","1","69c1660a25addb73093f1ffe","2026-03-23T16:10:50.838000","2026-03-23T16:11:14.008000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","8.01","0","100","Reinigung Innenhof","20","""Einrichten der Baustelle Seilaufbau für die Dauer der Arbeiten Den von Taubenkot stark verschmutzten Innenhof samt Fensterbretter (kleiner Hof zur Darwingasse 22)","9.612","8.01","pauschal","0","1","69c1660913505d94ff2e685e","1","69c1660ab63143202d4c90d8","2026-03-23T16:10:50.591000","2026-03-23T16:11:13.992000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","0","0","100","","20","","0","0","Stk","0","1","69c1660913505d94ff2e685e","1","69c1660a2af13e488010b82a","2026-03-23T16:10:50.334000","2026-03-23T16:11:13.967000","6937375d862a164b90207fd4","info@oswebdev.com","false"
